,ID commande,Payment date,Nom du fabricant,Product Category Default,Article,Code postal (Facture),Ville (Facture)
11283,1743,08.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64250.0,SAINT PALAIS
11284,1743,08.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64250.0,SAINT PALAIS
11285,1743,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,SAINT PALAIS
11287,1743,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64250.0,SAINT PALAIS
11288,1743,08.01.2018,FERME BELAZKABIETA,ÉPICERIE,BIZIGAI Piment d'Espelette AOP (50 gr),64250.0,SAINT PALAIS
11289,1743,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,SAINT PALAIS
11291,1750,08.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64240.0,HASPARREN
11292,1750,08.01.2018, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64240.0,HASPARREN
11293,1750,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,HASPARREN
11294,1750,08.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,HASPARREN
11295,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,HASPARREN
11296,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64240.0,HASPARREN
11297,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
11298,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,HASPARREN
11299,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,HASPARREN
11300,1750,08.01.2018,FERME ALASTA,ÉPICERIE,Confiture de pêches (360g),64240.0,HASPARREN
11301,1750,08.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,HASPARREN
11303,1751,08.01.2018, FERME BIXARTEA,ÉPICERIE,compote de pommes 750g,64240.0,AYHERRE
11305,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,AYHERRE
11306,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,AYHERRE
11307,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
11308,1751,08.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,AYHERRE
11309,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,AYHERRE
11310,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64240.0,AYHERRE
11311,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,AYHERRE
11312,1752,08.01.2018,FERME ALASTA,ÉPICERIE,Coulis de Mûres (320g),64240.0,AYHERRE
11313,1752,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
11314,1752,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,AYHERRE
11315,1752,08.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64240.0,AYHERRE
11316,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,AYHERRE
11317,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,AYHERRE
11318,1753,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64240.0,HASPARREN
11319,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,HASPARREN
11321,1753,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,HASPARREN
11323,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
11324,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,HASPARREN
11325,1754,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,hasparren
11326,1754,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,hasparren
11327,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
11328,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
11329,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
11333,1754,09.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64240.0,hasparren
11334,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chicoree scarole,64780.0,BIDARRAY
11335,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64780.0,BIDARRAY
11336,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64780.0,BIDARRAY
11337,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64780.0,BIDARRAY
11338,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64780.0,BIDARRAY
11339,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64780.0,BIDARRAY
11340,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64780.0,BIDARRAY
11341,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,pomme de terre vapeur (2kg),64780.0,BIDARRAY
11342,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64780.0,BIDARRAY
11343,1755,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64780.0,BIDARRAY
11344,1755,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64780.0,BIDARRAY
11345,1755,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64780.0,BIDARRAY
11346,1755,09.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64780.0,BIDARRAY
11347,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64480.0,ustaritz
11348,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64480.0,ustaritz
11349,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64480.0,ustaritz
11350,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64480.0,ustaritz
11351,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64480.0,ustaritz
11352,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64480.0,ustaritz
11354,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64480.0,ustaritz
11355,1756,09.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64480.0,ustaritz
11356,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
11357,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
11358,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
11359,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64240.0,hasparren
