article,cat_id
compote,1
cerises,2
echalote,2
pain d'épices,1
petit pois,2
feves,2
melon,3
haricots verts,2
pêches,2
pastèque,2
aubergine,2
patidou,2
tomate,2
potimarron,2
concombre,2
poivron,2
radis,2
ciboulette,2
autre,4
navet,2
pommes,2
assortiment,2
epinard,2
celeri,2
betterave,2
kiwi,5
courge,2
carotte,2
agrumes,5
soupe,1
persil,2
pâtes,6
poireaux,2
pomme de terre,2
pollen,1
ail,2
pintade,7
poulet,8
chou,2
blette,2
beurre,9
polenta,1
huile,6
piment,1
salade,2
coulis,10
savon,1
viande de veau,11
mamia,9
farine,1
viande de chèvre ou chevreau,12
breuil,9
pâte à tartiner,1
tomme de vache fraîche,13
poule,14
tisane,15
creme fraiche,9
fromage pérail de brebis,16
fenouil,2
fromage de vache affiné,13
fromage blanc,9
miel,1
oeufs,7
viande de porc,11
fromage de brebis fermier,16
oignon,2
fromage de chèvre,16
vin ou cidre,1
jus ou sirop,1
yaourt,9
lait,9
confiture,1
