categorie,nombre
Fromage de brebis AOP Ossau Iraty,25
Viande ovine,10
Poulet,3
Miel,2
Fromages de chèvre,1
Viande bovine,17
Piment d'Espelette bio,8
Viande bovine bio,4
Viande ovine bio,6
Arto gorria Maïs grand roux basque,4
Miel bio,2
Fromage de vache et produits laitiers,5
Produits laitiers,4
Fromages de chèvre bio,2
Porc,11
Fromage de brebis bio,6
Fruits bio,2
fromage vache bio,1
Légumes,2
Pigeonneaux,1
Oeufs bio,2
Canard gras,4
Oeufs,2
Cidre et jus de pomme,3
Fruits,4
Légumes bio,4
Porc bio,1
Cidre et jus de pomme bio,1
Vin d'Irouléguy,1
Produits laitiers bios,1
Glace au lait de Brebis,1
Plantes aromatiques bio,2
Plantes aromatiques et médicinales,1
