Fromage de brebis AOP Ossau Iraty,0,25
Viande ovine,0,10
Poulet,0,3
Miel,0,2
Fromages de chèvre,0,1
Viande bovine,0,17
Piment d'Espelette bio,1,8
Viande bovine bio,1,4
Viande ovine bio,1,6
Arto gorria Maïs grand roux basque,0,4
Miel bio,1,2
Fromage de vache et produits laitiers,0,5
Produits laitiers,0,4
Fromages de chèvre bio,1,2
Porc,0,11
Fromage de brebis bio,1,6
Fruits bio,1,2
fromage vache bio,1,1
Légumes,0,2
Pigeonneaux,0,1
Oeufs bio,1,2
Canard gras,0,4
Oeufs,0,2
Cidre et jus de pomme,0,3
Fruits,0,4
Légumes bio,1,4
Porc bio,1,1
Cidre et jus de pomme bio,1,1
Vin d'Irouléguy,0,1
Produits laitiers bios,1,1
Glace au lait de Brebis,0,1
Plantes aromatiques bio,1,2
Plantes aromatiques et médicinales,0,1
