article,cat_id
Savon Lierre-Menthe surgras (5%),15
Miel de tilleul montagne (pot de 500g),15
Savon Carotte-Ortie surgras (5%),15
"assortiment chou fleur / romanesco (0,8-1kg)",6
Clementines AB (1 kg),5
Oranges AB (1 kg),5
Mélange de pommes (1kg),6
"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",13
Mamia (x4).,2
Beurre salé bio au lait cru (250g).,2
Yaourt a la myrtille bio  au lait entier (4 x 125g).,2
Yaourt a la framboise bio  au lait entier (4 x125 gr).,2
Yaourt a la fraise bio au lait entier  (4 x 125 gr).,2
Yaourt a la vanille  bio  au lait entier ( 4 x 125 gr).,2
Carton de jus de pommes (6 x 1L),15
Lait de vache demi-ecreme pasteurise bio (1L).,2
Beurre doux bio au lait cru ( 250 gr).,2
Pâte à tartiner Miel et Amande (pot de 250gr),15
Mache AB (200gr),6
Clementines AB (1 kg),5
Pomelos AB (1 kg),5
Oranges AB (1 kg),5
Poisson frais.,10
Clementines AB (1 kg),5
Oranges AB (1 kg),5
Citrons AB (1 kg),5
Mélange de pommes (1kg),6
Persil (la botte),6
breuil (375g).,2
"Fromage blanc de vache nature,lisse bio (500g).",2
"Yaourt au citron, bio,  au lait entier (4 x 125g).",2
Mélange de pommes (3kg),6
Clementines AB (1 kg),5
Pomelos AB (1 kg),5
Savon Carotte-Ortie surgras (5%),15
Mache AB (200gr),6
Breuil (500g).,2
Lait de vache demi-ecreme pasteurise bio (1L).,2
Beurre doux bio au lait cru ( 250 gr).,2
Oranges AB (1 kg),5
"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",13
Lait de vache demi-ecreme pasteurise bio (1L).,2
Beurre salé bio au lait cru (250g).,2
Creme fraiche bio  au lait cru (250ml).,2
Clementines AB (1 kg),5
Citrons AB (1 kg),5
Clementines AB (1 kg),5
Oranges AB (1 kg),5
Pomelos AB (1 kg),5
Citrons AB (1 kg),5
Beurre salé bio au lait cru (250g).,2
Lait de vache entier pasteurise bio (1L).,2
Lait de vache demi-ecreme pasteurise bio (1L).,2
Yaourt nature bio au lait entier (4 x125 gr).,2
Beurre doux bio au lait cru ( 250 gr).,2
Breuil (500g).,2
Jus de pommes (1L),15
CIDRE FERMIER (1l),15
fromage de brebis fermier (650g environ) +6 mois d'affinage.,4
Blette (la botte),6
Mache AB (200gr),6
Clementines AB (1 kg),5
Clementines AB (1 kg),5
Mélange de pommes (3kg),6
Poisson frais.,10
Céleri branche (le bouquet de 5 ou 6 branches),6
